projection_1	angle_1	projection_2	angle_2	score
0	290	1	45	90.80096628679762
1	45	0	290	90.80096628679762
0	290	2	235	88.99723972983995
2	235	0	290	88.99723972983995
0	285	3	65	96.0632000720948
3	65	0	285	96.0632000720948
0	290	4	315	114.25595357445874
4	315	0	290	114.25595357445874
0	110	5	310	117.94769750538634
5	310	0	110	117.94769750538634
0	200	6	340	35.8844015516914
6	340	0	200	35.8844015516914
0	290	7	20	39.40180723647303
7	20	0	290	39.40180723647303
0	110	8	305	111.31719785557459
8	305	0	110	111.31719785557459
0	95	9	35	105.70465658870837
9	35	0	95	105.70465658870837
0	190	10	155	36.74568537739134
10	155	0	190	36.74568537739134
0	255	11	275	134.77858765844854
11	275	0	255	134.77858765844854
0	100	12	85	183.80263542157465
12	85	0	100	183.80263542157465
0	110	13	250	92.44219760630948
13	250	0	110	92.44219760630948
0	285	14	105	99.78228025653495
14	105	0	285	99.78228025653495
0	100	15	95	130.96949565021444
15	95	0	100	130.96949565021444
0	290	16	325	26.21150897593384
16	325	0	290	26.21150897593384
0	110	17	245	79.35875074148598
17	245	0	110	79.35875074148598
0	110	18	355	120.75128259293908
18	355	0	110	120.75128259293908
0	90	19	260	106.30843125221364
19	260	0	90	106.30843125221364
0	290	20	325	48.008258572957494
20	325	0	290	48.008258572957494
0	290	21	270	29.854545815034378
21	270	0	290	29.854545815034378
0	250	22	80	149.07371339261863
22	80	0	250	149.07371339261863
0	225	23	90	115.34476148716315
23	90	0	225	115.34476148716315
0	240	24	10	149.39230832211712
24	10	0	240	149.39230832211712
0	100	25	220	32.39093297661581
25	220	0	100	32.39093297661581
0	110	26	310	112.42001260708152
26	310	0	110	112.42001260708152
0	285	27	40	116.50117481462664
27	40	0	285	116.50117481462664
0	95	28	285	38.41017471415551
28	285	0	95	38.41017471415551
0	100	29	185	40.1594397382213
29	185	0	100	40.1594397382213
0	105	30	105	161.24915214768447
30	105	0	105	161.24915214768447
0	115	31	235	86.90453332667919
31	235	0	115	86.90453332667919
0	110	32	300	27.008438000543457
32	300	0	110	27.008438000543457
0	290	33	100	28.375903455646363
33	100	0	290	28.375903455646363
0	110	34	240	91.90074352559532
34	240	0	110	91.90074352559532
0	85	35	30	122.50060044724746
35	30	0	85	122.50060044724746
0	285	36	315	123.02644691715265
36	315	0	285	123.02644691715265
0	280	37	20	139.99366083342423
37	20	0	280	139.99366083342423
0	285	38	120	97.32611250520013
38	120	0	285	97.32611250520013
0	195	39	325	31.4012609422163
39	325	0	195	31.4012609422163
0	285	40	25	125.73065777428859
40	25	0	285	125.73065777428859
0	110	41	225	114.7149422469839
41	225	0	110	114.7149422469839
0	285	42	230	37.664763220849856
42	230	0	285	37.664763220849856
0	80	43	40	149.30390155720613
43	40	0	80	149.30390155720613
0	290	44	125	101.22757648446411
44	125	0	290	101.22757648446411
0	105	45	130	56.977611384179454
45	130	0	105	56.977611384179454
0	110	46	250	91.49089564010568
46	250	0	110	91.49089564010568
0	265	47	70	102.18578154516338
47	70	0	265	102.18578154516338
0	265	48	125	183.40982210257636
48	125	0	265	183.40982210257636
0	290	49	105	95.78669183659412
49	105	0	290	95.78669183659412
0	290	50	45	84.47723018093862
50	45	0	290	84.47723018093862
0	245	51	0	104.29747409030607
51	0	0	245	104.29747409030607
0	255	52	125	38.235518148612954
52	125	0	255	38.235518148612954
0	265	53	45	251.60246013097228
53	45	0	265	251.60246013097228
0	60	54	285	180.25160041082518
54	285	0	60	180.25160041082518
0	110	55	240	97.47675922457753
55	240	0	110	97.47675922457753
0	195	56	290	30.069785565806615
56	290	0	195	30.069785565806615
0	290	57	115	103.72266834288799
57	115	0	290	103.72266834288799
0	285	58	115	103.00239974340026
58	115	0	285	103.00239974340026
0	285	59	120	112.5427164075642
59	120	0	285	112.5427164075642
0	280	60	300	190.0630230147493
60	300	0	280	190.0630230147493
0	290	61	100	47.25484046772061
61	100	0	290	47.25484046772061
0	110	62	195	111.2590417312138
62	195	0	110	111.2590417312138
0	110	63	180	111.6722317768626
63	180	0	110	111.6722317768626
0	80	64	220	181.41867645248823
64	220	0	80	181.41867645248823
0	290	65	55	79.24483112803885
65	55	0	290	79.24483112803885
0	125	66	305	31.065727055089024
66	305	0	125	31.065727055089024
0	105	67	250	108.78300914923051
67	250	0	105	108.78300914923051
0	110	68	195	106.46566615242206
68	195	0	110	106.46566615242206
0	105	69	130	116.31133065333152
69	130	0	105	116.31133065333152
0	255	70	100	267.69161760936606
70	100	0	255	267.69161760936606
0	275	71	230	40.35767510982923
71	230	0	275	40.35767510982923
0	115	72	285	51.13188679740297
72	285	0	115	51.13188679740297
0	255	73	210	198.56501344863617
73	210	0	255	198.56501344863617
0	295	74	285	37.49430045200347
74	285	0	295	37.49430045200347
0	60	75	285	202.14741449336861
75	285	0	60	202.14741449336861
0	105	76	310	48.287163456256984
76	310	0	105	48.287163456256984
0	105	77	240	45.11405512066646
77	240	0	105	45.11405512066646
0	285	78	285	97.18205069646069
78	285	0	285	97.18205069646069
0	285	79	15	55.662852143278656
79	15	0	285	55.662852143278656
0	105	80	295	102.49926751323147
80	295	0	105	102.49926751323147
0	110	81	255	85.08090879726822
81	255	0	110	85.08090879726822
0	290	82	125	106.85700176013708
82	125	0	290	106.85700176013708
0	285	83	135	115.11412166956922
83	135	0	285	115.11412166956922
0	245	84	235	111.37922849171126
84	235	0	245	111.37922849171126
0	255	85	130	313.5678506281877
85	130	0	255	313.5678506281877
0	110	86	215	50.94097882928598
86	215	0	110	50.94097882928598
0	110	87	180	37.821924465085914
87	180	0	110	37.821924465085914
0	110	88	240	96.80740980024191
88	240	0	110	96.80740980024191
0	290	89	65	82.89573524731408
89	65	0	290	82.89573524731408
0	110	90	135	93.67251429530478
90	135	0	110	93.67251429530478
0	80	91	35	198.54178076309339
91	35	0	80	198.54178076309339
0	75	92	205	199.65125918899733
92	205	0	75	199.65125918899733
0	115	93	305	104.33309777922838
93	305	0	115	104.33309777922838
0	110	94	210	109.09031878818129
94	210	0	110	109.09031878818129
0	290	95	95	73.14227959158083
95	95	0	290	73.14227959158083
0	115	96	70	18.177632471779212
96	70	0	115	18.177632471779212
0	280	97	200	23.477598987321283
97	200	0	280	23.477598987321283
0	285	98	235	22.613767617206616
98	235	0	285	22.613767617206616
0	290	99	80	96.2739328257467
99	80	0	290	96.2739328257467
1	190	2	10	22.417242600703478
2	10	1	190	22.417242600703478
1	230	3	240	15.805990342391937
3	240	1	230	15.805990342391937
1	70	4	115	32.230327114093654
4	115	1	70	32.230327114093654
1	255	5	130	34.69502749081476
5	130	1	255	34.69502749081476
1	220	6	310	102.02965300398232
6	310	1	220	102.02965300398232
1	210	7	150	107.67497033313708
7	150	1	210	107.67497033313708
1	245	8	285	28.128829063247185
8	285	1	245	28.128829063247185
1	5	9	140	31.158659518326367
9	140	1	5	31.158659518326367
1	240	10	295	102.31224843448409
10	295	1	240	102.31224843448409
1	260	11	25	49.56646034418881
11	25	1	260	49.56646034418881
1	220	12	315	101.07106731807107
12	315	1	220	101.07106731807107
1	250	13	90	13.796291790448597
13	90	1	250	13.796291790448597
1	105	14	310	29.792614648504603
14	310	1	105	29.792614648504603
1	10	15	330	44.33516228357629
